feature,survival_score,time_corr,time_p,event_corr,event_p
tumor_grade_preop_encoded,0.790628773932802,-0.32267061958138044,2.9858217214503607e-05,0.4679581543514215,3.8693223369125857e-10
preoperative_risk_group_encoded,0.7373941068122825,-0.3298814949436237,1.9255310178717358e-05,0.40751261186865884,8.085926126925861e-08
final_grade_encoded,0.686084843832143,-0.20473362236558978,0.00918226435127376,0.4813512214665532,1.0216742330800557e-10
final_risk_group_encoded,0.6634708343574026,-0.1893537909323382,0.01614086119245627,0.47411704342506444,2.1124749998250534e-10
chemotherapy,0.6444769260809038,-0.22990355930242057,0.003348159902344516,0.4145733667784832,4.566572027920469e-08
sentinel_node_pathology_4.0,0.6080105239997047,0.42514490113405257,1.8933484678005647e-08,0.18286562286565214,0.02024162553808732
final_histology_2.0,0.5737874496784987,0.418359407869123,3.34320516701972e-08,-0.15542804180937572,0.04897888325571067
lymphovascular_invasion,0.5577398265550689,-0.1178977355952726,0.13635625602214832,0.4398420909597963,5.288975299981489e-09
preoperative_staging_2.0,0.5543002520313965,-0.2837659946892238,0.00026448784556971233,0.27053425734217273,0.0005187150912494889
myometrial_invasion_encoded,0.46879950068717546,-0.07851836742086564,0.32214823610232846,0.3902811332663098,3.0884405764453824e-07
tumor_size,0.4508417691308962,-0.20555749043882612,0.008899123000881096,0.24528427869207006,0.0017120551988437796
indication_radiotherapy,0.44976843611087697,-0.041858075063889943,0.5980462497565648,0.407910361046987,7.832548707640457e-08
bmi,0.4412314338001452,0.18626577242197598,0.017992396099863802,-0.2549656613781692,0.00109827320541846
surgery_time,0.43504611690167844,-0.04413352901204338,0.5782796951555331,0.39091258788963507,2.944345369936963e-07
distant_metastasis,0.4158074042318137,-0.318795738603975,3.762367777476225e-05,0.09701166562783872,0.22086224163034057
primary_surgery_type_1.0,0.39445862654733815,0.24877802226448323,0.001461475839703237,-0.14568060428285493,0.06519388565008186
myometrial_invasion_preop_subjective_2.0,0.3861472024507894,0.19770441542826858,0.011940239688813338,-0.18844278702252076,0.01666901343908921
total_sentinel_nodes,0.3768373014964693,-0.1985737129405702,0.011563770466421638,-0.1782635885558991,0.023670248449092404
preoperative_staging_1.0,0.35652731151992967,-0.16314874676288374,0.038652116563971745,0.19337856475704596,0.013978099610797247
final_histology_9.0,0.2996166884795984,-0.1702997470268413,0.030786060730581693,0.12931694145275707,0.10206263338641602
